Transaction date,Account number,Account name,Currency code,Closing balance,Transaction amount,Transaction code,Narrative,Reference
20260221,032001234567,HARBOURSIDE PLUMBING LTD,NZD,40150.00,-3800.00,050,PAYROLL - SARAH CHEN,REF026
20260224,032001234567,HARBOURSIDE PLUMBING LTD,NZD,48150.00,8000.00,050,PAYMENT RECEIVED - INV-2026-005 AUCKLAND COUNCIL,REF027
20260226,032001234567,HARBOURSIDE PLUMBING LTD,NZD,46350.00,-1800.00,050,BUNNINGS WAREHOUSE - MATERIALS,REF028
20260228,032001234567,HARBOURSIDE PLUMBING LTD,NZD,44850.00,-1500.00,050,RENT - 14 INDUSTRIAL RD UNIT 3,REF029
20260303,032001234567,HARBOURSIDE PLUMBING LTD,NZD,53450.00,8600.00,050,PAYMENT RECEIVED - INV-2026-006 KIWI DEVELOPMENTS,REF030
20260305,032001234567,HARBOURSIDE PLUMBING LTD,NZD,50250.00,-3200.00,050,PLUMBING SUPPLIES NZ LTD - MATERIALS,REF031
20260307,032001234567,HARBOURSIDE PLUMBING LTD,NZD,46450.00,-3800.00,050,PAYROLL - MIKE TANE,REF032
20260307,032001234567,HARBOURSIDE PLUMBING LTD,NZD,42650.00,-3800.00,050,PAYROLL - SARAH CHEN,REF033
20260310,032001234567,HARBOURSIDE PLUMBING LTD,NZD,51250.00,8600.00,050,PAYMENT RECEIVED - INV-2026-007 NORTH SHORE HOTEL,REF034
20260312,032001234567,HARBOURSIDE PLUMBING LTD,NZD,49450.00,-1800.00,050,MOBIL FUEL - VEHICLE EXPENSES,REF035
20260314,032001234567,HARBOURSIDE PLUMBING LTD,NZD,47450.00,-2000.00,050,ACC LEVY - QUARTERLY,REF036
20260317,032001234567,HARBOURSIDE PLUMBING LTD,NZD,55050.00,7600.00,050,PAYMENT RECEIVED - INV-2026-008 FLETCHER BUILDING,REF037
20260319,032001234567,HARBOURSIDE PLUMBING LTD,NZD,53250.00,-1800.00,050,VERO INSURANCE - QUARTERLY PREMIUM,REF038
20260321,032001234567,HARBOURSIDE PLUMBING LTD,NZD,49450.00,-3800.00,050,PAYROLL - MIKE TANE,REF039
20260321,032001234567,HARBOURSIDE PLUMBING LTD,NZD,45650.00,-3800.00,050,PAYROLL - SARAH CHEN,REF040
20260324,032001234567,HARBOURSIDE PLUMBING LTD,NZD,52850.00,7200.00,050,PAYMENT RECEIVED - INV-2026-009 PRIVATE CLIENT J WATSON,REF041
20260326,032001234567,HARBOURSIDE PLUMBING LTD,NZD,49850.00,-3000.00,050,PLUMBING SUPPLIES NZ LTD - MATERIALS,REF042
20260328,032001234567,HARBOURSIDE PLUMBING LTD,NZD,48350.00,-1500.00,050,RENT - 14 INDUSTRIAL RD UNIT 3,REF043
20260331,032001234567,HARBOURSIDE PLUMBING LTD,NZD,45550.00,-2800.00,050,IRD - GST PAYMENT FEB 2026,REF044
